id,label,rationale
95,0,"Contradiction (NLI: 0.312, BDH prob: 0.246)"
136,0,"Contradiction (NLI: 0.654, BDH prob: 0.270)"
59,1,"Consistent (NLI: 0.000, BDH prob: 0.604)"
60,1,"Consistent (NLI: 0.120, BDH prob: 0.533)"
124,0,"Contradiction (NLI: 0.464, BDH prob: 0.237)"
111,1,"Consistent (NLI: 0.000, BDH prob: 0.309)"
135,0,"Contradiction (NLI: 0.676, BDH prob: 0.254)"
27,1,"Consistent (NLI: 0.001, BDH prob: 0.453)"
110,0,"Contradiction (NLI: 0.585, BDH prob: 0.274)"
42,1,"Consistent (NLI: 0.001, BDH prob: 0.517)"
56,1,"Consistent (NLI: 0.001, BDH prob: 0.515)"
80,1,"Consistent (NLI: 0.000, BDH prob: 0.548)"
28,1,"Consistent (NLI: 0.002, BDH prob: 0.491)"
101,0,"Contradiction (NLI: 0.587, BDH prob: 0.273)"
91,0,"Contradiction (NLI: 0.426, BDH prob: 0.261)"
24,1,"Consistent (NLI: 0.001, BDH prob: 0.567)"
119,0,"Contradiction (NLI: 0.226, BDH prob: 0.245)"
93,0,"Contradiction (NLI: 0.979, BDH prob: 0.219)"
72,1,"Consistent (NLI: 0.001, BDH prob: 0.530)"
16,1,"Consistent (NLI: 0.001, BDH prob: 0.592)"
30,1,"Consistent (NLI: 0.000, BDH prob: 0.471)"
97,1,"Consistent (NLI: 0.001, BDH prob: 0.297)"
22,1,"Consistent (NLI: 0.001, BDH prob: 0.627)"
53,1,"Consistent (NLI: 0.000, BDH prob: 0.569)"
58,1,"Consistent (NLI: 0.001, BDH prob: 0.586)"
81,1,"Consistent (NLI: 0.000, BDH prob: 0.486)"
47,1,"Consistent (NLI: 0.001, BDH prob: 0.606)"
7,1,"Consistent (NLI: 0.002, BDH prob: 0.600)"
121,0,"Contradiction (NLI: 0.213, BDH prob: 0.243)"
129,1,"Consistent (NLI: 0.023, BDH prob: 0.292)"
51,1,"Consistent (NLI: 0.001, BDH prob: 0.541)"
127,0,"Contradiction (NLI: 0.668, BDH prob: 0.275)"
133,1,"Consistent (NLI: 0.002, BDH prob: 0.301)"
52,1,"Consistent (NLI: 0.000, BDH prob: 0.511)"
114,0,"Contradiction (NLI: 0.335, BDH prob: 0.263)"
2,1,"Consistent (NLI: 0.001, BDH prob: 0.481)"
33,1,"Consistent (NLI: 0.001, BDH prob: 0.540)"
15,1,"Consistent (NLI: 0.001, BDH prob: 0.599)"
82,1,"Consistent (NLI: 0.000, BDH prob: 0.497)"
37,1,"Consistent (NLI: 0.001, BDH prob: 0.477)"
3,1,"Consistent (NLI: 0.002, BDH prob: 0.551)"
103,0,"Contradiction (NLI: 0.336, BDH prob: 0.256)"
94,1,"Consistent (NLI: 0.002, BDH prob: 0.297)"
85,1,"Consistent (NLI: 0.001, BDH prob: 0.567)"
21,1,"Consistent (NLI: 0.001, BDH prob: 0.524)"
49,1,"Consistent (NLI: 0.001, BDH prob: 0.501)"
140,1,"Consistent (NLI: 0.000, BDH prob: 0.298)"
64,1,"Consistent (NLI: 0.002, BDH prob: 0.473)"
131,0,"Contradiction (NLI: 0.660, BDH prob: 0.262)"
61,1,"Consistent (NLI: 0.004, BDH prob: 0.607)"
86,1,"Consistent (NLI: 0.001, BDH prob: 0.565)"
38,1,"Consistent (NLI: 0.001, BDH prob: 0.554)"
132,1,"Consistent (NLI: 0.000, BDH prob: 0.285)"
77,1,"Consistent (NLI: 0.001, BDH prob: 0.570)"
70,1,"Consistent (NLI: 0.001, BDH prob: 0.598)"
115,1,"Consistent (NLI: 0.119, BDH prob: 0.322)"
78,1,"Consistent (NLI: 0.004, BDH prob: 0.537)"
87,1,"Consistent (NLI: 0.001, BDH prob: 0.293)"
75,1,"Consistent (NLI: 0.001, BDH prob: 0.593)"
44,1,"Consistent (NLI: 0.016, BDH prob: 0.539)"
